number,source,time,year,month,day,hour,lat,lon,wind,pressure,status,condition,devflag
100002,2,1982-01-06 00:00:00,1982,1,6,0,-12.7,102.9,20.0,0.0,-48.0,1.0,1
100002,2,1982-01-06 03:00:00,1982,1,6,3,-12.7,102.7,23.0,0.0,-45.0,1.0,1
100002,2,1982-01-06 06:00:00,1982,1,6,6,-12.7,102.4,25.0,0.0,-42.0,1.0,1
100002,2,1982-01-06 09:00:00,1982,1,6,9,-12.7,102.1,25.0,0.0,-39.0,1.0,1
100002,2,1982-01-06 12:00:00,1982,1,6,12,-12.8,101.8,25.0,0.0,-36.0,1.0,1
100002,2,1982-01-06 15:00:00,1982,1,6,15,-12.8,101.5,25.0,0.0,-33.0,1.0,1
100002,2,1982-01-06 18:00:00,1982,1,6,18,-12.9,101.2,25.0,0.0,-30.0,1.0,1
100002,2,1982-01-06 21:00:00,1982,1,6,21,-12.9,100.8,25.0,0.0,-27.0,1.0,1
100002,2,1982-01-07 00:00:00,1982,1,7,0,-13.0,100.4,25.0,0.0,-24.0,1.0,1
100002,2,1982-01-07 03:00:00,1982,1,7,3,-13.1,99.8,25.0,0.0,-21.0,1.0,1
100002,2,1982-01-07 06:00:00,1982,1,7,6,-13.2,99.2,25.0,0.0,-18.0,1.0,1
100002,2,1982-01-07 09:00:00,1982,1,7,9,-13.3,98.5,28.0,0.0,-15.0,1.0,1
100002,2,1982-01-07 12:00:00,1982,1,7,12,-13.4,97.9,30.0,0.0,-12.0,1.0,1
100002,2,1982-01-07 15:00:00,1982,1,7,15,-13.5,97.3,30.0,0.0,-9.0,1.0,1
100002,2,1982-01-07 18:00:00,1982,1,7,18,-13.6,96.7,30.0,0.0,-6.0,1.0,1
100002,2,1982-01-07 21:00:00,1982,1,7,21,-13.7,96.1,33.0,0.0,-3.0,1.0,1
100003,2,1982-01-11 12:00:00,1982,1,11,12,-7.9,93.5,20.0,0.0,-42.0,1.0,1
100003,2,1982-01-11 15:00:00,1982,1,11,15,-7.8,93.7,20.0,0.0,-39.0,1.0,1
100003,2,1982-01-11 18:00:00,1982,1,11,18,-7.7,93.9,20.0,0.0,-36.0,1.0,1
100003,2,1982-01-11 21:00:00,1982,1,11,21,-7.7,94.1,23.0,0.0,-33.0,1.0,1
100003,2,1982-01-12 00:00:00,1982,1,12,0,-7.7,94.2,25.0,0.0,-30.0,1.0,1
100003,2,1982-01-12 03:00:00,1982,1,12,3,-7.8,94.4,25.0,0.0,-27.0,1.0,1
100003,2,1982-01-12 06:00:00,1982,1,12,6,-7.9,94.6,25.0,0.0,-24.0,1.0,1
100003,2,1982-01-12 09:00:00,1982,1,12,9,-8.0,94.7,28.0,0.0,-21.0,1.0,1
100003,2,1982-01-12 12:00:00,1982,1,12,12,-8.1,94.8,30.0,0.0,-18.0,1.0,1
100003,2,1982-01-12 15:00:00,1982,1,12,15,-8.2,94.8,30.0,0.0,-15.0,1.0,1
100003,2,1982-01-12 18:00:00,1982,1,12,18,-8.4,94.8,30.0,0.0,-12.0,1.0,1
100003,2,1982-01-12 21:00:00,1982,1,12,21,-8.6,94.8,30.0,0.0,-9.0,1.0,1
100003,2,1982-01-13 00:00:00,1982,1,13,0,-8.7,94.9,30.0,0.0,-6.0,1.0,1
100003,2,1982-01-13 03:00:00,1982,1,13,3,-8.8,94.9,33.0,0.0,-3.0,1.0,1
100004,2,1982-01-14 18:00:00,1982,1,14,18,-11.7,132.3,25.0,0.0,-36.0,1.0,1
100004,2,1982-01-14 21:00:00,1982,1,14,21,-12.0,132.4,25.0,0.0,-33.0,1.0,1
100004,2,1982-01-15 00:00:00,1982,1,15,0,-12.3,132.4,25.0,0.0,-30.0,1.0,1
100004,2,1982-01-15 03:00:00,1982,1,15,3,-12.6,132.3,25.0,0.0,-27.0,1.0,1
100004,2,1982-01-15 06:00:00,1982,1,15,6,-12.9,132.1,25.0,0.0,-24.0,1.0,1
100004,2,1982-01-15 09:00:00,1982,1,15,9,-13.2,131.8,25.0,0.0,-21.0,1.0,1
100004,2,1982-01-15 12:00:00,1982,1,15,12,-13.5,131.4,25.0,0.0,-18.0,1.0,1
100004,2,1982-01-15 15:00:00,1982,1,15,15,-13.8,130.9,28.0,0.0,-15.0,1.0,1
100004,2,1982-01-15 18:00:00,1982,1,15,18,-14.1,130.4,30.0,0.0,-12.0,1.0,1
100004,2,1982-01-15 21:00:00,1982,1,15,21,-14.4,129.9,30.0,0.0,-9.0,1.0,1
100004,2,1982-01-16 00:00:00,1982,1,16,0,-14.6,129.3,30.0,0.0,-6.0,1.0,1
100004,2,1982-01-16 03:00:00,1982,1,16,3,-14.9,128.8,33.0,0.0,-3.0,1.0,1
100005,2,1982-01-13 06:00:00,1982,1,13,6,-13.0,114.1,30.0,0.0,-12.0,1.0,1
100005,2,1982-01-13 09:00:00,1982,1,13,9,-13.0,114.0,30.0,0.0,-9.0,1.0,1
100005,2,1982-01-13 12:00:00,1982,1,13,12,-13.0,113.9,30.0,0.0,-6.0,1.0,1
100005,2,1982-01-13 15:00:00,1982,1,13,15,-13.0,113.8,33.0,0.0,-3.0,1.0,1
100006,2,1982-01-25 18:00:00,1982,1,25,18,-18.0,154.1,25.0,0.0,-24.0,1.0,1
100006,2,1982-01-25 21:00:00,1982,1,25,21,-18.6,154.4,25.0,0.0,-21.0,1.0,1
100006,2,1982-01-26 00:00:00,1982,1,26,0,-19.1,154.8,25.0,0.0,-18.0,1.0,1
100006,2,1982-01-26 03:00:00,1982,1,26,3,-19.5,155.2,25.0,0.0,-15.0,1.0,1
100006,2,1982-01-26 06:00:00,1982,1,26,6,-19.7,155.7,25.0,0.0,-12.0,1.0,1
100006,2,1982-01-26 09:00:00,1982,1,26,9,-19.8,156.2,28.0,0.0,-9.0,1.0,1
100006,2,1982-01-26 12:00:00,1982,1,26,12,-19.9,156.7,30.0,0.0,-6.0,1.0,1
100006,2,1982-01-26 15:00:00,1982,1,26,15,-20.0,157.3,33.0,0.0,-3.0,1.0,1
100007,2,1982-01-25 18:00:00,1982,1,25,18,-16.9,173.2,25.0,0.0,-18.0,1.0,1
