Global Tropical Cloud Clusters -- Version: v01r01
Data derived from GridSat (v01r01) and IBTrACS (v03r02)
clusno,clus_sn,time,lat,lon,wlat,wlon,devflag,initial_basin,in_season,lifespan,storm_sn,storm_name,genesis_basin,interp_flag,pixel_count,t_avg,t_min,t_std,rad_avg,wgt_rad_max,avg_cloud_height,direction,wgt_direction,speed,wgt_speed,qc_flag,qc_flag_interp,qc_flag_dev
       1,   1982001N08229, 1982010100,    8.1, -130.6,    8.0, -130.7, 0,  3, 0,  30, xxxxxxxxxxxxx,        n/a, 14, 0,  600,  221.9,  210.6,    3.5,  113.6,  186.3,  12.29,  74.5,  65.3, 22.6, 24.0, 0, 1, 0
       1,   1982001N08229, 1982010103,    8.4, -129.5,    8.5, -129.6, 0,  3, 0,  30, xxxxxxxxxxxxx,        n/a, 14, 0,  920,  220.3,  205.4,    5.0,  150.9,  285.2,  12.52,  44.8,  42.3, 19.3, 19.0, 0, 1, 0
       1,   1982001N08229, 1982010106,    9.2, -129.5,    9.2, -129.6, 0,  3, 0,  30, xxxxxxxxxxxxx,        n/a, 14, 1, -999, -999.9, -999.9, -999.9, -999.9, -999.9, -99.99, 360.0, 360.0, 16.0, 14.0, 0, 1, 0
       1,   1982001N08229, 1982010109,   10.0, -129.5,    9.9, -129.6, 0,  3, 0,  30, xxxxxxxxxxxxx,        n/a, 14, 1, -999, -999.9, -999.9, -999.9, -999.9, -999.9, -99.99, 360.0, 360.0, 15.0, 14.0, 0, 1, 0
       1,   1982001N08229, 1982010112,   10.7, -129.5,   10.6, -129.6, 0,  3, 0,  30, xxxxxxxxxxxxx,        n/a, 14, 1, -999, -999.9, -999.9, -999.9, -999.9, -999.9, -99.99, 360.0, 360.0, 15.0, 14.0, 0, 1, 0
       1,   1982001N08229, 1982010115,   11.5, -129.5,   11.3, -129.6, 0,  3, 0,  30, xxxxxxxxxxxxx,        n/a, 14, 0,  613,  222.1,  212.6,    4.2,  108.3,  164.3,  12.26, 146.7, 131.6, 22.6, 23.1, 0, 1, 0
       1,   1982001N08229, 1982010118,   10.1, -129.1,    9.9, -128.8, 0,  3, 0,  30, xxxxxxxxxxxxx,        n/a, 14, 1, -999, -999.9, -999.9, -999.9, -999.9, -999.9, -99.99, 164.8, 149.7, 30.1, 31.3, 0, 1, 0
       1,   1982001N08229, 1982010121,    8.6, -128.7,    8.6, -128.0, 0,  3, 0,  30, xxxxxxxxxxxxx,        n/a, 14, 1, -999, -999.9, -999.9, -999.9, -999.9, -999.9, -99.99, 164.7, 149.6, 30.1, 31.3, 0, 1, 0
       1,   1982001N08229, 1982010200,    7.2, -128.3,    7.2, -127.2, 0,  3, 0,  30, xxxxxxxxxxxxx,        n/a, 14, 0, 2025,  222.7,  208.4,    4.3,  228.0,  599.6,  12.16, 132.4, 144.2, 33.4, 27.4, 0, 1, 0
       1,   1982001N08229, 1982010203,    6.6, -126.5,    6.4, -126.4, 0,  3, 0,  30, xxxxxxxxxxxxx,        n/a, 14, 0,  932,  221.0,  206.4,    5.1,  142.3,  306.9,  12.42, 138.1, 161.7, 33.9, 24.3, 0, 1, 0
       1,   1982001N08229, 1982010206,    5.1, -126.4,    5.1, -126.5, 0,  3, 0,  30, xxxxxxxxxxxxx,        n/a, 14, 0,  510,  222.9,  212.6,    3.6,   91.9,  174.3,  12.13, 176.2, 184.4, 30.1, 26.1, 0, 1, 0
       2,   1982001N02330, 1982010103,    2.0,  -29.6,    1.9,  -29.9, 0,  0, 0,  33, xxxxxxxxxxxxx,        n/a, 14, 0,  589,  213.4,  197.7,    6.8,  120.8,  224.1,  13.54, 267.4, 264.0, 44.1, 38.2, 0, 1, 0
       2,   1982001N02330, 1982010106,    1.9,  -31.8,    1.7,  -31.8, 0,  0, 0,  33, xxxxxxxxxxxxx,        n/a, 14, 0, 1335,  211.2,  188.9,    7.8,  159.9,  260.3,  13.91, 274.5, 275.4, 26.3, 23.6, 0, 1, 0
       2,   1982001N02330, 1982010109,    2.2,  -32.1,    2.1,  -32.0, 0,  0, 0,  33, xxxxxxxxxxxxx,        n/a, 14, 1, -999, -999.9, -999.9, -999.9, -999.9, -999.9, -99.99, 324.5, 333.4,  8.7,  9.0, 0, 1, 0
       2,   1982001N02330, 1982010112,    2.6,  -32.3,    2.5,  -32.2, 0,  0, 0,  33, xxxxxxxxxxxxx,        n/a, 14, 1, -999, -999.9, -999.9, -999.9, -999.9, -999.9, -99.99, 324.5, 324.5,  8.7,  8.7, 0, 1, 0
       2,   1982001N02330, 1982010115,    2.9,  -32.6,    2.8,  -32.5, 0,  0, 0,  33, xxxxxxxxxxxxx,        n/a, 14, 1, -999, -999.9, -999.9, -999.9, -999.9, -999.9, -99.99, 315.0, 324.5,  8.5,  8.7, 0, 1, 0
       2,   1982001N02330, 1982010118,    3.2,  -32.9,    3.2,  -32.7, 0,  0, 0,  33, xxxxxxxxxxxxx,        n/a, 14, 0, 1583,  218.3,  200.9,    4.3,  168.7,  313.8,  12.82, 270.0, 270.0, 19.5, 21.0, 0, 1, 0
       2,   1982001N02330, 1982010121,    2.9,  -34.4,    2.8,  -34.3, 0,  0, 0,  33, xxxxxxxxxxxxx,        n/a, 14, 1, -999, -999.9, -999.9, -999.9, -999.9, -999.9, -99.99, 256.4, 253.8, 29.9, 32.3, 0, 1, 0
       2,   1982001N02330, 1982010200,    2.5,  -35.8,    2.3,  -35.8, 0,  0, 0,  33, xxxxxxxxxxxxx,        n/a, 14, 0,  640,  212.7,  200.5,    6.4,  108.0,  140.4,  13.65, 247.7, 245.3, 24.0, 26.6, 0, 1, 0
       2,   1982001N02330, 1982010203,    2.0,  -36.6,    1.7,  -36.7, 0,  0, 0,  33, xxxxxxxxxxxxx,        n/a, 14, 0,  799,  216.1,  202.1,    4.7,  125.5,  211.5,  13.13, 326.3, 318.4, 23.6, 25.9, 0, 1, 0
       2,   1982001N02330, 1982010206,    3.4,  -36.4,    3.2,  -36.6, 0,  0, 0,  33, xxxxxxxxxxxxx,        n/a, 14, 1, -999, -999.9, -999.9, -999.9, -999.9, -999.9, -99.99,   6.3,   3.9, 27.2, 29.1, 0, 1, 0
       2,   1982001N02330, 1982010209,    4.7,  -36.3,    4.6,  -36.5, 0,  0, 0,  33, xxxxxxxxxxxxx,        n/a, 14, 1, -999, -999.9, -999.9, -999.9, -999.9, -999.9, -99.99,   6.3,   3.9, 27.2, 29.1, 0, 1, 0
